"Rate ID";"User ID";"Obs Session ID";"Start Date";"End Date";Ra;Decl;Teff;F;Lm;Shower;Method;Number
964506;532;79799;"2020-01-04 04:47:00";"2020-01-04 05:06:00";230.0000;4.0000;0.3167;1.5000;5;SPO;C;0
964507;532;79799;"2020-01-04 05:06:00";"2020-01-04 05:19:00";230.0000;4.0000;0.2167;1.5000;5;QUA;P;5
964508;532;79799;"2020-01-04 05:06:00";"2020-01-04 05:19:00";230.0000;4.0000;0.2167;1.5000;5;DLM;C;0
964509;532;79799;"2020-01-04 05:06:00";"2020-01-04 05:19:00";230.0000;4.0000;0.2167;1.5000;5;SPO;C;0
964510;532;79799;"2020-01-04 05:19:00";"2020-01-04 05:30:00";230.0000;4.0000;0.1833;1.5000;5;QUA;P;7
964511;532;79799;"2020-01-04 05:19:00";"2020-01-04 05:30:00";230.0000;4.0000;0.1833;1.5000;5;DLM;P;1
964512;532;79799;"2020-01-04 05:19:00";"2020-01-04 05:30:00";230.0000;4.0000;0.1833;1.5000;5;SPO;C;0
964513;532;79799;"2020-01-04 05:30:00";"2020-01-04 05:51:00";230.0000;4.0000;0.3500;1.5000;4.75;QUA;P;5
964514;532;79799;"2020-01-04 05:30:00";"2020-01-04 05:51:00";230.0000;4.0000;0.3500;1.5000;4.75;DLM;C;0
964515;532;79799;"2020-01-04 05:30:00";"2020-01-04 05:51:00";230.0000;4.0000;0.3500;1.5000;4.75;SPO;C;0
964516;7976;79800;"2020-01-04 04:05:00";"2020-01-04 04:30:00";180.0000;20.0000;0.4167;1.0500;5.3;QUA;C;12
964517;7976;79800;"2020-01-04 04:05:00";"2020-01-04 04:30:00";180.0000;20.0000;0.4167;1.0500;5.3;SPO;C;1
964518;7976;79800;"2020-01-04 04:30:00";"2020-01-04 04:54:00";180.0000;20.0000;0.4000;1.0500;5.5;QUA;C;25
964519;7976;79800;"2020-01-04 04:30:00";"2020-01-04 04:54:00";180.0000;20.0000;0.4000;1.0500;5.5;SPO;C;1
964520;7976;79800;"2020-01-04 05:38:00";"2020-01-04 06:00:00";210.0000;20.0000;0.3667;1.0500;5.8;QUA;C;14
964521;7976;79800;"2020-01-04 05:38:00";"2020-01-04 06:00:00";210.0000;20.0000;0.3667;1.0500;5.8;SPO;C;0
964522;7976;79800;"2020-01-04 06:00:00";"2020-01-04 06:22:00";210.0000;20.0000;0.3667;1.0000;5.8;QUA;C;12
964523;7976;79800;"2020-01-04 06:00:00";"2020-01-04 06:22:00";210.0000;20.0000;0.3667;1.0000;5.8;SPO;C;1
964524;7205;79801;"2020-01-04 05:05:00";"2020-01-04 05:15:00";200.0000;40.0000;0.1600;1.0000;6.2;ANT;C;0
964525;7205;79801;"2020-01-04 05:05:00";"2020-01-04 05:15:00";200.0000;40.0000;0.1600;1.0000;6.2;QUA;C;11
964526;7205;79801;"2020-01-04 05:05:00";"2020-01-04 05:15:00";200.0000;40.0000;0.1600;1.0000;6.2;DLM;C;1
964527;7205;79801;"2020-01-04 05:05:00";"2020-01-04 05:15:00";200.0000;40.0000;0.1600;1.0000;6.2;SPO;C;0
964528;7205;79801;"2020-01-04 05:15:00";"2020-01-04 05:25:00";200.0000;40.0000;0.1600;1.1500;6.15;ANT;C;0
964529;7205;79801;"2020-01-04 05:15:00";"2020-01-04 05:25:00";200.0000;40.0000;0.1600;1.1500;6.15;QUA;C;10
964530;7205;79801;"2020-01-04 05:15:00";"2020-01-04 05:25:00";200.0000;40.0000;0.1600;1.1500;6.15;DLM;C;0
964531;7205;79801;"2020-01-04 05:15:00";"2020-01-04 05:25:00";200.0000;40.0000;0.1600;1.1500;6.15;SPO;C;1
964532;7205;79801;"2020-01-04 05:25:00";"2020-01-04 05:40:00";200.0000;40.0000;0.2000;1.2500;6.05;ANT;C;0
964533;7205;79801;"2020-01-04 05:25:00";"2020-01-04 05:40:00";200.0000;40.0000;0.2000;1.2500;6.05;QUA;C;8
964534;7205;79801;"2020-01-04 05:25:00";"2020-01-04 05:40:00";200.0000;40.0000;0.2000;1.2500;6.05;DLM;C;0
964535;7205;79801;"2020-01-04 05:25:00";"2020-01-04 05:40:00";200.0000;40.0000;0.2000;1.2500;6.05;SPO;C;0
964536;44;79802;"2020-01-03 22:50:00";"2020-01-03 23:20:00";150.0000;70.0000;0.5000;1.0000;6.05;ANT;C;0
964537;44;79802;"2020-01-03 22:50:00";"2020-01-03 23:20:00";150.0000;70.0000;0.5000;1.0000;6.05;QUA;C;2
964538;44;79802;"2020-01-03 22:50:00";"2020-01-03 23:20:00";150.0000;70.0000;0.5000;1.0000;6.05;DLM;C;0
964539;44;79802;"2020-01-03 22:50:00";"2020-01-03 23:20:00";150.0000;70.0000;0.5000;1.0000;6.05;SPO;C;2
964540;44;79802;"2020-01-03 23:20:00";"2020-01-03 23:57:00";150.0000;70.0000;0.6167;1.0000;6.25;ANT;C;1
964541;44;79802;"2020-01-03 23:20:00";"2020-01-03 23:57:00";150.0000;70.0000;0.6167;1.0000;6.25;QUA;C;6
964542;44;79802;"2020-01-03 23:20:00";"2020-01-03 23:57:00";150.0000;70.0000;0.6167;1.0000;6.25;DLM;C;0
964543;44;79802;"2020-01-03 23:20:00";"2020-01-03 23:57:00";150.0000;70.0000;0.6167;1.0000;6.25;SPO;C;2
964544;44;79802;"2020-01-04 00:00:00";"2020-01-04 00:35:00";45.0000;55.0000;0.5833;1.0000;6.38;ANT;C;0
964545;44;79802;"2020-01-04 00:00:00";"2020-01-04 00:35:00";45.0000;55.0000;0.5833;1.0000;6.38;QUA;C;11
964546;44;79802;"2020-01-04 00:00:00";"2020-01-04 00:35:00";45.0000;55.0000;0.5833;1.0000;6.38;DLM;C;1
964547;44;79802;"2020-01-04 00:00:00";"2020-01-04 00:35:00";45.0000;55.0000;0.5833;1.0000;6.38;SPO;C;1
964548;44;79803;"2020-01-04 01:16:00";"2020-01-04 01:35:00";150.0000;70.0000;0.3167;1.0000;6.4;ANT;C;0
964549;44;79803;"2020-01-04 01:16:00";"2020-01-04 01:35:00";150.0000;70.0000;0.3167;1.0000;6.4;QUA;C;7
964550;44;79803;"2020-01-04 01:16:00";"2020-01-04 01:35:00";150.0000;70.0000;0.3167;1.0000;6.4;DLM;C;0
964551;44;79803;"2020-01-04 01:16:00";"2020-01-04 01:35:00";150.0000;70.0000;0.3167;1.0000;6.4;SPO;C;1
964552;44;79803;"2020-01-04 01:55:00";"2020-01-04 02:27:00";225.0000;50.0000;0.5333;1.0000;6.4;ANT;C;1
964553;44;79803;"2020-01-04 01:55:00";"2020-01-04 02:27:00";225.0000;50.0000;0.5333;1.0000;6.4;QUA;C;17
964554;44;79803;"2020-01-04 01:55:00";"2020-01-04 02:27:00";225.0000;50.0000;0.5333;1.0000;6.4;DLM;C;1
964555;44;79803;"2020-01-04 01:55:00";"2020-01-04 02:27:00";225.0000;50.0000;0.5333;1.0000;6.4;SPO;C;4
964556;44;79803;"2020-01-04 02:31:00";"2020-01-04 02:53:00";225.0000;50.0000;0.3667;1.0000;6.3;ANT;C;1
964557;44;79803;"2020-01-04 02:31:00";"2020-01-04 02:53:00";225.0000;50.0000;0.3667;1.0000;6.3;QUA;C;11
964558;44;79803;"2020-01-04 02:31:00";"2020-01-04 02:53:00";225.0000;50.0000;0.3667;1.0000;6.3;DLM;C;0
964559;44;79803;"2020-01-04 02:31:00";"2020-01-04 02:53:00";225.0000;50.0000;0.3667;1.0000;6.3;SPO;C;0
964560;418;79804;"2020-01-04 07:30:00";"2020-01-04 08:00:00";225.0000;80.0000;0.5000;1.0000;6.25;ANT;C;1
964561;418;79804;"2020-01-04 07:30:00";"2020-01-04 08:00:00";225.0000;80.0000;0.5000;1.0000;6.25;QUA;C;3
964562;418;79804;"2020-01-04 07:30:00";"2020-01-04 08:00:00";225.0000;80.0000;0.5000;1.0000;6.25;U547;C;1
964563;418;79804;"2020-01-04 07:30:00";"2020-01-04 08:00:00";225.0000;80.0000;0.5000;1.0000;6.25;SPO;C;1
964564;418;79804;"2020-01-04 08:00:00";"2020-01-04 08:30:00";225.0000;80.0000;0.5000;1.0000;6.35;ANT;C;1
964565;418;79804;"2020-01-04 08:00:00";"2020-01-04 08:30:00";225.0000;80.0000;0.5000;1.0000;6.35;QUA;C;8
964566;418;79804;"2020-01-04 08:00:00";"2020-01-04 08:30:00";225.0000;80.0000;0.5000;1.0000;6.35;U547;C;1
